n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
34,0.034,0.0,0.17656601777256745,0.3388697924267022,0.4715993654006425,0.5593728414891832,0.5901681073041684,0.5593728414891831,0.47159936540064246,0.3388697924267021,0.1765660177725674,0.0
35,0.035,0.0,0.17513979346072417,0.33591237225868276,0.46710375571210255,0.5536750204618277,0.5840090541411713,0.5536750204618276,0.4671037557121025,0.3359123722586827,0.1751397934607241,0.0
36,0.036000000000000004,0.0,0.17370307199444762,0.3329542527242289,0.46264174384173307,0.5480512973547895,0.5779422474053026,0.5480512973547894,0.462641743841733,0.33295425272422885,0.17370307199444757,0.0
37,0.037,0.0,0.172257882867981,0.3299978837630012,0.4582139500812883,0.5424994370085352,0.5719640573952001,0.5424994370085351,0.45821395008128823,0.32999788376300115,0.17225788286798094,0.0
38,0.038,0.0,0.17080609467068492,0.3270454903053279,0.4538208921421843,0.537017350354477,0.5660711333178671,0.537017350354477,0.45382089214218424,0.32704549030532787,0.17080609467068486,0.0
39,0.039,0.0,0.16934942476708073,0.3240990909255493,0.4494629977797279,0.5316030828295867,0.560260376725189,0.5316030828295867,0.44946299777972787,0.3240990909255492,0.16934942476708068,0.0
40,0.04,0.0,0.1678894489062195,0.32116051499512027,0.44514061559929596,0.526254803714161,0.5545289179460685,0.526254803714161,0.4451406155992959,0.3211605149951202,0.16788944890621946,0.0
41,0.041,0.0,0.16642761062448763,0.31823141844664776,0.4408540243503649,0.5209707963258653,0.548874095099687,0.5209707963258653,0.44085402435036486,0.3182314184466477,0.16642761062448758,0.0
42,0.042,0.0,0.1649652303442549,0.3153132982548035,0.4366034409575432,0.5157494490056974,0.5432934353449227,0.5157494490056974,0.43660344095754317,0.3153132982548034,0.16496523034425484,0.0
43,0.043000000000000003,0.0,0.16350351410088426,0.3124075057340226,0.4323890274920847,0.5105892468348046,0.5377846380770777,0.5105892468348046,0.43238902749208463,0.31240750573402254,0.1635035141008842,0.0
44,0.044,0.0,0.16204356185410967,0.309515258746515,0.42821089725055045,0.5054887640247598,0.5323455598286231,0.5054887640247598,0.4282108972505504,0.3095152587465149,0.16204356185410962,0.0
